username,password,email,role
johnDoe,Password123!,john.doe@example.com,STUDENT
janeTeacher,Teach@2023,jane.teacher@example.com,TEACHER
adminUser1,Admin#Secure1,admin1@example.com,ADMIN
studentAlex,StudyHard45,alex.student@example.com,STUDENT
teacherBrian,TeachScience101,brian.teacher@example.com,TEACHER
adminUser2,Admin$Level2,admin2@example.com,ADMIN
studentCharlie,CharliePass1,charlie.student@example.com,STUDENT
teacherDana,Teach@2024,dana.teacher@example.com,TEACHER
studentEva,EvaPass2023,eva.student@example.com,STUDENT
adminUser3,SecureAdmin3,admin3@example.com,ADMIN
